"Data Source","World Development Indicators",

"Last Updated Date","2020-07-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Bosnia and Herzegovina","BIH","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","89.06359","","","","","","","","","96.6631","","","","","","","","","","","98.14204","","96.99177","","","","","","",
"Belarus","BLR","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","97.88337","","","","","","","","","","99.59073","","","","","","","","","","99.61706","","","","","","","","","99.75656","",
"Belize","BLZ","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","70.29842","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bermuda","BMU","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","63.20815","","","","","","","","","","","","","","","","79.99177","","","","","","","","","86.72367","","","","","","90.74347","90.69811","91.16783","","92.22615","94.46057","","","92.45508","","","","",
"Brazil","BRA","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","74.58673","","","","","","","","","","","","","","","","","","","","86.36788","","","","88.61624","","89.61523","90.00937","90.03662","90.29821","90.37918","91.41124","91.33785","91.48424","91.72943","92.0479","92.80844","93.07582","93.2275","",
"Barbados","BRB","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","99.26808","","","","","","","","","","","","","","99.6","","","","","","","","","","99.6","","","","","","","","","","99.6","","","","","","","","","","99.6","","","","","",
"Brunei Darussalam","BRN","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","77.7355","","","","","","","","","","87.80418","","","","","","","","","","92.67113","","","","","","","","","","96.08556","","","","","","","97.21411","",
"Bhutan","BTN","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","52.81469","","","","","","","57.0336","","","","","66.56115","","",
"Botswana","BWA","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","68.58091","","","","","","","","","","","","81.18871","","","","","","","","","","86.82318","","","","","","",
"Central African Republic","CAF","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","18.23617","","","","","","","","","","","","","33.62442","","","","","","","","","","","","50.64517","","","","","","","","","","36.75261","","","","","","","","37.39582","",
"Canada","CAN","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Central Europe and the Baltics","CEB","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","97.98486","98.009","98.04586","98.0775","98.10278","98.13769","98.03419","98.09084","98.15051","98.19687","98.2471","98.28861","98.33435","98.37999","98.41967","98.45885","98.54362","98.47383","98.50943","98.53638","98.56638","98.58282","98.60522","98.62831","98.63604","98.6545","98.69249","98.89841","98.91732","98.93486","98.9454","98.95481","98.96629","98.97773","98.99005","","","",
